Antonio V. Alvillar
Edgardo C. Gutierrez

Returned to ready queue: PID: 0x282475249, State: running, Priority: 0xF, PC: 0x0
 -> PID: 0x892053144, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1624379149, State: ready, Priority: 0xF, PC: 0x3897
 -> PID: 0x382955828, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1227619358, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x784558821, State: ready, Priority: 0xF, PC: 0x3397

Returned to ready queue: PID: 0x984943658, State: running, Priority: 0xF, PC: 0x6882

Head: PID: 0x590357944, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x357571490, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1927702196, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x4294967295, State: ready, Priority: 0xF, PC: 0x10787
 -> PID: 0x1083454666, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x685118024, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1474833169, State: ready, Priority: 0xF, PC: 0x3853
 -> PID: 0x194847408, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x158374933, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x824938981, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1998097157, State: ready, Priority: 0xF, PC: 0x3013
 -> PID: 0x1457850878, State: ready, Priority: 0xF, PC: 0x7747
 -> PID: 0x107554536, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1404280278, State: ready, Priority: 0xF, PC: 0x3669
 -> PID: 0x2007237709, State: ready, Priority: 0xF, PC: 0x6429
 -> PID: 0x1478446501, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1351934195, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1636807826, State: ready, Priority: 0xF, PC: 0x3404
 -> PID: 0x1908194298, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x657821123, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x101929267, State: ready, Priority: 0xF, PC: 0x3882
 -> PID: 0x1816731566, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x282475249, State: ready, Priority: 0xF, PC: 0x10135
 -> PID: 0x892053144, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1624379149, State: ready, Priority: 0xF, PC: 0x3897
 -> PID: 0x382955828, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1227619358, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x784558821, State: ready, Priority: 0xF, PC: 0x3397
 -> PID: 0x1070477904, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1606946231, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x74243042, State: ready, Priority: 0xF, PC: 0x6847
 -> PID: 0x1617819336, State: ready, Priority: 0xF, PC: 0x3298
 -> PID: 0x456880399, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x280090412, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1137522503, State: ready, Priority: 0xF, PC: 0x7302
 -> PID: 0x889688008, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1899894091, State: ready, Priority: 0xF, PC: 0x3968
 -> PID: 0x515204530, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x937186357, State: ready, Priority: 0xF, PC: 0x3962

Returned to ready queue: PID: 0x1083454666, State: running, Priority: 0xF, PC: 0x0

Head: PID: 0x685118024, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1474833169, State: ready, Priority: 0xF, PC: 0x3853
 -> PID: 0x194847408, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x158374933, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x824938981, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1998097157, State: ready, Priority: 0xF, PC: 0x3013
 -> PID: 0x1457850878, State: ready, Priority: 0xF, PC: 0x7747
 -> PID: 0x107554536, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1404280278, State: ready, Priority: 0xF, PC: 0x3669
 -> PID: 0x2007237709, State: ready, Priority: 0xF, PC: 0x6429
 -> PID: 0x1478446501, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1351934195, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1636807826, State: ready, Priority: 0xF, PC: 0x3404
 -> PID: 0x1908194298, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x657821123, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x101929267, State: ready, Priority: 0xF, PC: 0x3882
 -> PID: 0x1816731566, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x282475249, State: ready, Priority: 0xF, PC: 0x10135
 -> PID: 0x892053144, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1624379149, State: ready, Priority: 0xF, PC: 0x3897
 -> PID: 0x382955828, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1227619358, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x784558821, State: ready, Priority: 0xF, PC: 0x3397
 -> PID: 0x1070477904, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1606946231, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x74243042, State: ready, Priority: 0xF, PC: 0x6847
 -> PID: 0x1617819336, State: ready, Priority: 0xF, PC: 0x3298
 -> PID: 0x456880399, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x280090412, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1137522503, State: ready, Priority: 0xF, PC: 0x7302
 -> PID: 0x889688008, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1899894091, State: ready, Priority: 0xF, PC: 0x3968
 -> PID: 0x515204530, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x937186357, State: ready, Priority: 0xF, PC: 0x3962
 -> PID: 0x1400285365, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1463179852, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x984943658, State: ready, Priority: 0xF, PC: 0x10703
 -> PID: 0x590357944, State: ready, Priority: 0xF, PC: 0x3712
 -> PID: 0x1815859901, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x357571490, State: ready, Priority: 0xF, PC: 0x3831
 -> PID: 0x318153057, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1927702196, State: ready, Priority: 0xF, PC: 0x3790
 -> PID: 0x4294967295, State: ready, Priority: 0xF, PC: 0x14466

Returned to ready queue: PID: 0x824938981, State: running, Priority: 0xF, PC: 0x0

Head: PID: 0x1998097157, State: ready, Priority: 0xF, PC: 0x3013
 -> PID: 0x1457850878, State: ready, Priority: 0xF, PC: 0x7747
 -> PID: 0x107554536, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1404280278, State: ready, Priority: 0xF, PC: 0x3669
 -> PID: 0x2007237709, State: ready, Priority: 0xF, PC: 0x6429
 -> PID: 0x1478446501, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1351934195, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1636807826, State: ready, Priority: 0xF, PC: 0x3404
 -> PID: 0x1908194298, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x657821123, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x101929267, State: ready, Priority: 0xF, PC: 0x3882
 -> PID: 0x1816731566, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x282475249, State: ready, Priority: 0xF, PC: 0x10135
 -> PID: 0x892053144, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1624379149, State: ready, Priority: 0xF, PC: 0x3897
 -> PID: 0x382955828, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1227619358, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x784558821, State: ready, Priority: 0xF, PC: 0x3397
 -> PID: 0x1070477904, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1606946231, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x74243042, State: ready, Priority: 0xF, PC: 0x6847
 -> PID: 0x1617819336, State: ready, Priority: 0xF, PC: 0x3298
 -> PID: 0x456880399, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x280090412, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1137522503, State: ready, Priority: 0xF, PC: 0x7302
 -> PID: 0x889688008, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1899894091, State: ready, Priority: 0xF, PC: 0x3968
 -> PID: 0x515204530, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x937186357, State: ready, Priority: 0xF, PC: 0x3962
 -> PID: 0x1400285365, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1463179852, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x984943658, State: ready, Priority: 0xF, PC: 0x10703
 -> PID: 0x590357944, State: ready, Priority: 0xF, PC: 0x3712
 -> PID: 0x1815859901, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x357571490, State: ready, Priority: 0xF, PC: 0x3831
 -> PID: 0x318153057, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1927702196, State: ready, Priority: 0xF, PC: 0x3790
 -> PID: 0x4294967295, State: ready, Priority: 0xF, PC: 0x14466
 -> PID: 0x1083454666, State: ready, Priority: 0xF, PC: 0x3006
 -> PID: 0x2063936098, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x685118024, State: ready, Priority: 0xF, PC: 0x3319
 -> PID: 0x1351345223, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1398556760, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1474833169, State: ready, Priority: 0xF, PC: 0x6979
 -> PID: 0x1023129506, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x436476770, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1936329094, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x194847408, State: ready, Priority: 0xF, PC: 0x3844
 -> PID: 0x881140534, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x158374933, State: ready, Priority: 0xF, PC: 0x3394

Returned to ready queue: PID: 0x2007237709, State: running, Priority: 0xF, PC: 0x6429

Head: PID: 0x1478446501, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1351934195, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x1636807826, State: ready, Priority: 0xF, PC: 0x3404
 -> PID: 0x1908194298, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x657821123, State: new, Priority: 0xF, PC: 0x0
 -> PID: 0x101929267, State: ready, Priority: 0xF, PC: 0x3882
 -> PID: 0x1816731566, State: new, Priority: 0xF, PC: 0x0
